JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2459919.918750000, A.D. 2022-Dec-06 10:03:00.0000,  2.916901716746625E+05,  2.770879779732944E+05, -1.229338608854871E+04,  5.866273683536082E-02, -6.557195039087393E-02, -1.833148666196121E-01,
2459919.960416667, A.D. 2022-Dec-06 11:03:00.0000,  2.918855850951658E+05,  2.768440982377569E+05, -1.295159424474560E+04,  4.995404033455814E-02, -6.989263899169586E-02, -1.824009441286697E-01,
2459920.002083333, A.D. 2022-Dec-06 12:03:00.0000,  2.920499979021912E+05,  2.765842520559204E+05, -1.360651537012057E+04,  4.141916033772229E-02, -7.448883057359866E-02, -1.814524517967303E-01,
2459920.043750000, A.D. 2022-Dec-06 13:03:00.0000,  2.921840210853767E+05,  2.763076274178831E+05, -1.425810633403400E+04,  3.306615973858774E-02, -7.921116860587350E-02, -1.805493812098228E-01,
2459920.085416667, A.D. 2022-Dec-06 14:03:00.0000,  2.922882611065283E+05,  2.760137989101727E+05, -1.490651571270452E+04,  2.486901419354575E-02, -8.404420628776268E-02, -1.796836875932968E-01,
2459920.127083333, A.D. 2022-Dec-06 15:03:00.0000,  2.923632388443965E+05,  2.757023916597186E+05, -1.555186568377925E+04,  1.680602934541349E-02, -8.897520982387180E-02, -1.788486953388819E-01,
2459920.168750000, A.D. 2022-Dec-06 16:03:00.0000,  2.924094034807855E+05,  2.753730725837242E+05, -1.619425641504530E+04,  8.858937656458914E-03, -9.399361776531157E-02, -1.780388111727077E-01,
2459920.210416667, A.D. 2022-Dec-06 17:03:00.0000,  2.924271435474350E+05,  2.750255433484057E+05, -1.683376955334857E+04,  1.012212507775702E-03, -9.909062581224201E-02, -1.772493072363881E-01,
2459920.252083333, A.D. 2022-Dec-06 18:03:00.0000,  2.924216790849478E+05,  2.746546787328863E+05, -1.745974909941343E+04, -6.685197369406507E-03, -1.043236189519610E-01, -1.763142621009548E-01,
2459920.293750000, A.D. 2022-Dec-06 19:03:00.0000,  2.923837597409787E+05,  2.742697126136984E+05, -1.809310934722466E+04, -1.436939306609794E-02, -1.095568249082737E-01, -1.755544280398693E-01,
2459920.335416667, A.D. 2022-Dec-06 20:03:00.0000,  2.923182980073730E+05,  2.738657978364807E+05, -1.872375283933795E+04, -2.198808773242979E-02, -1.148498554204258E-01, -1.748044881309331E-01,
2459920.377083333, A.D. 2022-Dec-06 21:03:00.0000,  2.922255135017968E+05,  2.734427271621553E+05, -1.935171038721813E+04, -2.955008815136740E-02, -1.201983190235391E-01, -1.740618296948410E-01,
2459920.418750000, A.D. 2022-Dec-06 22:03:00.0000,  2.921055960255768E+05,  2.730003078858545E+05, -1.997700398758336E+04, -3.706318280659625E-02, -1.255985132023359E-01, -1.733241585302507E-01,
2459920.460416667, A.D. 2022-Dec-06 23:03:00.0000,  2.919587089205798E+05,  2.725383595525008E+05, -2.059964787065763E+04, -4.453430777969698E-02, -1.310473192926662E-01, -1.725894462980246E-01,
2459920.502083333, A.D. 2022-Dec-07 00:03:00.0000,  2.917849918867123E+05,  2.720567120152414E+05, -2.121964937696479E+04, -5.196968170329980E-02, -1.365421161543039E-01, -1.718558871991649E-01,
2459920.543750000, A.D. 2022-Dec-07 01:03:00.0000,  2.915845633586210E+05,  2.715552037749201E+05, -2.183700969404857E+04, -5.937491668076377E-02, -1.420807098929723E-01, -1.711218632985141E-01,
2459920.585416667, A.D. 2022-Dec-07 02:03:00.0000,  2.913575225196044E+05,  2.710336805513315E+05, -2.245172447781020E+04, -6.675510968757094E-02, -1.476612750847270E-01, -1.703859150788477E-01,
2459920.627083333, A.D. 2022-Dec-07 03:03:00.0000,  2.911039510148723E+05,  2.704919940466457E+05, -2.306378437825659E+04, -7.411491868598837E-02, -1.532823062190160E-01, -1.696467173263590E-01,
2459920.668750000, A.D. 2022-Dec-07 04:03:00.0000,  2.908239144140231E+05,  2.699300008689342E+05, -2.367317548548582E+04, -8.145862626595624E-02, -1.589425770109004E-01, -1.689030587556070E-01,
2459920.710416667, A.D. 2022-Dec-07 05:03:00.0000,  2.905171398736857E+05,  2.693478053069861E+05, -2.428043175072777E+04, -9.574528864284233E-02, -1.594027488523554E-01, -1.800191707362216E-01,
2459920.752083333, A.D. 2022-Dec-07 06:03:00.0000,  2.901827304468519E+05,  2.687459868084991E+05, -2.488704875182672E+04, -9.617530152584360E-02, -1.703265063057893E-01, -1.674795180114825E-01,
2459920.793750000, A.D. 2022-Dec-07 07:03:00.0000,  2.898233258197416E+05,  2.681224310199294E+05, -2.548860311435604E+04, -1.034933762591959E-01, -1.760994924822276E-01, -1.667160106154878E-01,
2459920.835416667, A.D. 2022-Dec-07 08:03:00.0000,  2.894375802557379E+05,  2.674780266364421E+05, -2.608739385295277E+04, -1.108096802289631E-01, -1.819090057073298E-01, -1.659440255572723E-01,
2459920.877083333, A.D. 2022-Dec-07 09:03:00.0000,  2.890254945617616E+05,  2.668126426468931E+05, -2.668338890187563E+04, -1.181272795229660E-01, -1.877548003120851E-01, -1.651627116132909E-01,
2459920.918750000, A.D. 2022-Dec-07 10:03:00.0000,  2.885870587862249E+05,  2.661261486694971E+05, -2.727655320965033E+04, -1.254490888245157E-01, -1.936367700384989E-01, -1.643712600280869E-01,
2459920.960416667, A.D. 2022-Dec-07 11:03:00.0000,  2.881222527241610E+05,  2.654184144725679E+05, -2.786684887979178E+04, -1.327778930741308E-01, -1.995549357287134E-01, -1.635688978495742E-01,
2459921.002083333, A.D. 2022-Dec-07 12:03:00.0000,  2.876310463499790E+05,  2.646893095374622E+05, -2.845423528805327E+04, -1.401163662086648E-01, -2.055094343716332E-01, -1.627548817096474E-01,
2459921.043750000, A.D. 2022-Dec-07 13:03:00.0000,  2.871134001864811E+05,  2.639387026571483E+05, -2.903866917924919E+04, -1.474670877861469E-01, -2.115005100114568E-01, -1.619284925024612E-01,
2459921.085416667, A.D. 2022-Dec-07 14:03:00.0000,  2.865692656176318E+05,  2.631664615652343E+05, -2.962010474586727E+04, -1.548325576869820E-01, -2.175285059449736E-01, -1.610890306210870E-01,
2459921.127083333, A.D. 2022-Dec-07 15:03:00.0000,  2.859985851513305E+05,  2.623724525908267E+05, -3.019849369042808E+04, -1.622152092411696E-01, -2.235938581388476E-01, -1.602358116865221E-01,
2459921.168750000, A.D. 2022-Dec-07 16:03:00.0000,  2.854002799076283E+05,  2.615595002728357E+05, -3.077195819556405E+04, -1.696709408619482E-01, -2.295366278028360E-01, -1.592682433509766E-01,
2459921.210416667, A.D. 2022-Dec-07 17:03:00.0000,  2.847761081791820E+05,  2.607221249455695E+05, -3.134373965683886E+04, -1.770949697384260E-01, -2.356783567453786E-01, -1.583855548834475E-01,
2459921.252083333, A.D. 2022-Dec-07 18:03:00.0000,  2.841251671101222E+05,  2.598625691017262E+05, -3.191231529627784E+04, -1.845431775945923E-01, -2.418592574144460E-01, -1.574871213971897E-01,
